date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-11-29,9.11,9.21,9.06,9.02,55519.42,-0.1,-1.09,9.17,9.288,9.115,89936.5,71283.87,60880.51
2016-11-28,9.6,9.6,9.16,9.15,111774.54,-0.3,-3.17,9.228,9.321,9.103,86165.65,72186.36,60433.13
2016-11-25,9.46,9.46,9.46,9.31,182221.44,0.45,4.99,9.268,9.344,9.076,73936.54,70135.95,57892.98
2016-11-24,9.15,9.25,9.01,8.96,56278.11,-0.15,-1.64,9.27,9.306,9.041,52108.53,57481.45,53163.78
2016-11-23,9.3,9.4,9.16,9.15,43889.0,-0.19,-2.03,9.364,9.285,9.046,50148.4,55819.76,52993.73
2016-11-22,9.36,9.38,9.35,9.29,36665.18,-0.01,-0.11,9.406,9.244,9.041,52631.24,55092.73,55617.98
2016-11-21,9.5,9.55,9.36,9.27,50628.98,-0.11,-1.16,9.414,9.185,9.033,58207.06,55841.5,56660.05
2016-11-18,9.51,9.66,9.47,9.46,73081.37,-0.01,-0.1,9.42,9.126,9.024,66335.36,54269.65,57171.44
2016-11-17,9.34,9.49,9.48,9.2,46477.45,0.11,1.17,9.342,9.059,9.006,62854.36,50578.74,60434.92
2016-11-16,9.43,9.57,9.37,9.27,56303.23,-0.02,-0.21,9.206,8.988,9.002,61491.12,51347.04,64789.71
2016-11-15,9.33,9.63,9.39,9.32,64544.29,0.0,0.0,9.082,8.941,8.998,57554.22,50477.15,69703.42
2016-11-14,9.1,9.5,9.39,9.1,91270.44,0.31,3.41,8.956,8.884,8.996,53475.94,48679.9,83671.26
2016-11-11,8.82,9.13,9.08,8.8,55676.41,0.28,3.18,8.832,8.808,8.979,42203.95,45650.02,82011.76
2016-11-10,8.75,8.89,8.8,8.72,39661.22,0.05,0.57,8.776,8.776,8.956,38303.11,48846.12,82399.72
2016-11-09,8.75,8.77,8.75,8.54,36618.76,-0.01,-0.11,8.77,8.807,8.926,41202.96,50167.71,80509.39
2016-11-08,8.8,8.82,8.76,8.63,44152.88,-0.01,-0.11,8.8,8.837,8.88,43400.07,56143.22,78961.9
2016-11-07,8.8,8.86,8.77,8.7,34910.48,-0.03,-0.34,8.812,8.881,8.814,43883.86,57478.6,84847.91
2016-11-04,8.78,8.85,8.8,8.7,36172.2,0.03,0.34,8.784,8.922,8.727,49096.09,60073.22,93401.44
2016-11-03,8.89,8.89,8.77,8.73,54160.47,-0.13,-1.46,8.776,8.952,8.611,59389.14,70291.1,95928.43
2016-11-02,8.85,8.94,8.9,8.83,47604.34,0.06,0.68,8.844,9.015,8.497,59132.46,78232.39,98689.04
2016-10-28,8.59,8.93,8.82,8.58,46571.82,0.19,2.2,8.874,9.054,8.357,68886.37,88929.69,97808.02
2016-10-27,8.7,8.85,8.63,8.56,60971.61,-0.13,-1.48,8.95,9.107,8.219,71073.34,118662.62,96824.79
2016-10-26,9.11,9.11,8.76,8.75,87637.46,-0.35,-3.84,9.06,9.149,8.093,71050.35,118373.51,95451.69
2016-10-25,9.05,9.21,9.11,8.99,52877.05,0.06,0.66,9.128,9.135,7.971,81193.05,115953.32,93306.73
2016-10-24,9.11,9.26,9.05,8.96,96373.91,-0.15,-1.63,9.186,9.045,7.834,97332.32,110851.06,92698.33
2016-10-21,9.18,9.21,9.2,9.06,57506.69,0.02,0.22,9.234,8.922,7.697,108973.02,101780.58,90605.63
2016-10-20,9.15,9.24,9.18,9.03,60856.65,0.08,0.88,9.264,8.747,7.559,166251.9,112217.22,90374.67
2016-10-19,9.36,9.4,9.1,8.93,138350.95,-0.3,-3.19,9.238,8.532,7.415,165696.66,126729.66,90066.86
2016-10-18,9.22,9.53,9.4,9.22,133573.41,0.11,1.18,9.142,8.27,7.259,150713.58,121565.76,85604.73
2016-10-17,9.4,9.55,9.29,9.21,154577.38,-0.06,-0.64,8.904,7.979,7.085,124369.8,119145.68,81511.85
2016-10-14,9.5,9.5,9.35,8.89,343901.12,0.3,3.31,8.61,7.66,6.941,94588.13,106686.35,76521.48
2016-10-13,9.03,9.05,9.05,8.9,58080.43,0.43,4.99,8.23,7.33,6.792,58182.53,74986.95,63201.94
2016-10-12,8.62,8.62,8.62,8.51,63435.58,0.41,4.99,7.826,7.036,6.693,87762.66,72529.87,63521.21
2016-10-11,8.21,8.21,8.21,8.21,1854.51,0.39,4.99,7.398,6.807,6.603,92417.93,70660.14,63236.27
2016-10-10,7.82,7.82,7.82,7.82,5669.03,0.37,4.97,7.054,6.623,6.534,113921.56,74545.59,66956.94
2016-03-17,7.02,7.58,7.45,7.0,161873.12,0.42,5.97,6.71,6.471,6.464,118784.56,79430.69,68609.4
2016-03-16,6.78,7.13,7.03,6.6,205981.05,0.55,8.49,6.43,6.371,6.412,91791.37,68532.12,63114.56
2016-03-15,6.39,6.55,6.48,6.34,86711.96,-0.01,-0.15,6.246,6.298,6.385,57297.08,53404.07,55207.01
2016-03-14,6.06,6.5,6.49,6.04,109372.65,0.39,6.39,6.216,6.247,6.386,48902.35,49643.69,52670.12
2016-03-11,6.05,6.13,6.1,5.9,29984.0,0.05,0.83,6.192,6.19,6.375,35169.61,43878.01,49285.4
2016-03-10,6.16,6.23,6.05,6.0,26907.18,-0.06,-0.98,6.232,6.221,6.376,40076.83,46356.62,49456.59
2016-03-09,6.09,6.23,6.11,6.06,33509.62,-0.22,-3.48,6.312,6.253,6.38,45272.87,51416.94,50623.25
2016-03-08,6.4,6.4,6.33,6.01,44738.3,-0.04,-0.63,6.35,6.35,6.372,49511.06,54512.56,50988.33
2016-03-07,6.33,6.5,6.37,6.25,40708.97,0.07,1.11,6.278,6.399,6.36,50385.04,55812.4,52658.64
2016-03-04,6.39,6.4,6.3,6.01,54520.08,-0.15,-2.33,6.188,6.444,6.331,52586.4,59368.3,54244.12
2016-03-03,6.39,6.58,6.45,6.25,52887.39,0.15,2.38,6.21,6.457,6.291,52636.41,57788.11,54187.77
2016-03-02,5.98,6.35,6.3,5.98,54700.54,0.33,5.53,6.194,6.452,6.227,57561.0,57697.0,55222.62
2016-03-01,5.91,6.1,5.97,5.8,49108.22,0.05,0.84,6.35,6.472,6.197,59514.06,57009.95,60941.18
2016-02-29,6.4,6.4,5.92,5.78,51715.78,-0.49,-7.64,6.52,6.524,6.204,61239.75,55696.54,61922.42
2016-02-26,6.52,6.52,6.41,6.12,54770.13,0.04,0.63,6.7,6.559,6.247,66150.2,54692.79,61209.05
2016-02-25,7.0,7.04,6.37,6.37,77510.35,-0.71,-10.03,6.704,6.531,6.262,62939.8,52556.56,60395.45
2016-02-24,6.99,7.08,7.08,6.75,64465.81,0.26,3.81,6.71,6.506,6.276,57832.99,49829.55,58754.61
